73.21,18.2,8.6,3
75.94,15.5,8.56,3
79.25,12.65,8.1,3
81.46,10.64,7.9,3
83.79,8.82,7.39,3
85.56,7.42,7.02,3
44.03,46.07,9.9,5
48.35,42.22,9.43,5
52.38,37.83,9.79,5
56.75,33.84,9.42,5
61.03,29.49,9.48,5
65.37,26.7,7.92,3
69.95,22.18,7.87,3
73.75,18.68,7.58,3
77.02,15.47,7.52,3
80.04,12.98,6.98,3
82.1,10.79,7.11,3
84.21,9.12,6.67,3
44.48,47.13,8.39,5
48.69,43.25,8.06,5
52.81,38.71,8.47,5
56.91,34.78,8.31,5
61.21,30.6,8.19,5
65.62,27.21,7.18,3
69.5,23.24,7.25,3
74.08,19.22,6.7,3
77.29,15.64,7.07,3
80.69,13.12,6.19,3
82.86,10.9,6.24,3
84.78,9.35,5.88,3
44.88,48.04,7.08,5
48.56,44.31,7.14,5
52.61,39.86,7.53,5
57.6,35.15,7.25,5
61.86,30.66,7.48,5
66.08,27.79,6.14,3
70.68,23.59,5.73,3
74.06,19.65,6.3,3
77.81,16.07,6.13,3
80.41,13.47,6.12,3
83.19,10.94,5.87,3
44.97,48.85,6.18,5
48.17,45.28,6.55,5
53.11,40.77,6.12,5
57.32,36.15,6.53,5
63.47,30.63,5.9,5
66.74,27.85,5.41,3
70.27,23.71,6.02,3
74.42,19.78,5.79,3
78.46,16.11,5.42,3
80.2,14.05,5.75,3
44.98,49.53,5.49,5
48.64,46.01,5.35,5
52.44,41.37,6.19,5
57.2,36.89,5.91,5
62.59,32.15,5.26,4
66.52,28.31,5.17,3
70.66,24.15,5.19,3
74.52,20.06,5.42,3
78.39,16.37,5.24,3
44.09,51.13,4.77,5
47.82,46.99,5.18,5
52.61,42.08,5.31,5
57.09,37.58,5.34,5
61.8,33.48,4.72,4
66.95,28.25,4.8,3
71.17,23.83,5,3
75.39,19.76,4.85,3
43.93,51.78,4.29,5
48.21,47.2,4.59,5
51.81,43.1,5.1,5
59.03,37.04,3.93,5
62.24,33.31,4.45,4
67.57,28.24,4.19,4
43.9,52.59,3.51,5
47.58,48.12,4.3,5
52.74,42.67,4.59,5
57.02,38.46,4.52,4
